Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,0,0,12.4,14,67,70,1.1,89.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,1,0,10.9,0,0,0,1.3,94.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,2,0,10.5,0,0,0,1.3,95.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,3,0,10.1,0,0,0,1.3,97.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,4,0,9.8,0,0,0,1.4,98.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,5,0,9.7,0,0,0,1.4,99.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,6,0,9.7,0,0,0,1.3,99.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,7,0,9.7,0,0,0,1.4,99.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,8,0,9.7,0,0,0,1.4,99.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,9,0,9.9,0,0,0,1.4,99.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,10,0,10,0,0,0,1.4,99.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,11,0,10.2,0,0,0,1.6,98.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,12,0,10.2,0,0,0,1.6,98.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,5,13,0,10.2,0,0,0,1.5,98.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
